Date,Open,High,Low,Close,Adj Close,Volume
2019-05-23,0.558000,0.573000,0.544000,0.555000,0.555000,552200
2019-05-24,0.559000,0.610000,0.533000,0.600000,0.600000,2515100
2019-05-28,0.576000,0.611000,0.568000,0.611000,0.611000,965500
2019-05-29,0.610000,0.610000,0.580000,0.591000,0.591000,425100
2019-05-30,0.604000,0.618000,0.568000,0.580000,0.580000,379000
2019-05-31,0.550000,0.585000,0.545000,0.570000,0.570000,654600
2019-06-03,0.565000,0.580000,0.536000,0.546000,0.546000,547400
2019-06-04,0.522000,0.554000,0.518000,0.521000,0.521000,845100
2019-06-05,0.520000,0.547000,0.480000,0.492000,0.492000,1036100
2019-06-06,0.500000,0.508000,0.473000,0.473000,0.473000,969100
2019-06-07,0.491000,0.525000,0.464000,0.499000,0.499000,912100
2019-06-10,0.510000,0.526000,0.480000,0.493000,0.493000,553300
2019-06-11,0.495000,0.511000,0.480000,0.495000,0.495000,372800
2019-06-12,0.499000,0.504000,0.453000,0.460000,0.460000,945300
2019-06-13,0.438000,0.476000,0.438000,0.456000,0.456000,475700
2019-06-14,0.454000,0.464000,0.422000,0.434000,0.434000,961300
2019-06-17,0.440000,0.451000,0.418000,0.449000,0.449000,361100
2019-06-18,0.450000,0.490000,0.439000,0.456000,0.456000,652000
2019-06-19,0.456000,0.460000,0.423000,0.423000,0.423000,500800
2019-06-20,0.420000,0.443000,0.414000,0.430000,0.430000,794500
2019-06-21,0.443000,0.450000,0.422000,0.437000,0.437000,638600
2019-06-24,0.440000,0.458000,0.430000,0.434000,0.434000,371500
2019-06-25,0.439000,0.465000,0.415000,0.444000,0.444000,367400
2019-06-26,0.458000,0.461000,0.432000,0.460000,0.460000,401400
2019-06-27,0.465000,0.476000,0.449000,0.470000,0.470000,345000
2019-06-28,0.476000,0.493000,0.463000,0.488000,0.488000,839200
2019-07-01,0.470000,0.500000,0.440000,0.473000,0.473000,964000
2019-07-02,0.463000,0.520000,0.463000,0.506000,0.506000,814300
2019-07-03,0.505000,0.509000,0.480000,0.500000,0.500000,211400
2019-07-05,0.500000,0.506000,0.483000,0.500000,0.500000,214700
2019-07-08,0.498000,0.498000,0.465000,0.483000,0.483000,532000
